epoch,loss,val_loss
0,3.8375808022022246,3.251470189419481
1,3.081548049449921,2.8816137774826585
2,2.8580626506805418,2.8532728926243296
3,2.696414297580719,2.6595851449127665
4,2.591589106082916,2.6784729989624565
5,2.506764416694641,2.519263644568118
6,2.459813954949379,2.5702774627566813
7,2.4062255519628524,2.625074430277707
8,2.4044534006118776,2.557729748728365
9,2.3661376844644546,2.653377206953481
10,2.3430354690551756,2.50725301994071
11,2.3172762144804,2.398992693331466
12,2.3131613416671755,2.405074625553823
13,2.2930475133657455,2.774523976500713
14,2.271644370317459,2.4426588588827935
15,2.265675115466118,2.495994034029352
16,2.2556074872016905,2.3570204233116936
17,2.2434770265817643,2.3710487752105798
18,2.2359807314872744,2.3726113924747425
19,2.220994311451912,2.3414963353385736
0,7.228730484377687,14.799937362670898
0,6.332981504059688,14.694672226905823
1,8.22638121973117,14.881969814300538
2,5.81141467073134,14.692011971473693
3,7.259810811623143,14.797675576210022
4,5.5326784314596065,14.72874234199524
5,6.9892895519398195,14.621954731941223
6,6.934586853522315,14.79756446838379
7,6.105890743133733,14.607730717658997
8,6.8879930124037205,14.549743781089783
9,6.206764751278056,14.617045621871949
10,5.544209474117335,14.617568287849426
11,7.831032346401896,14.53919391155243
12,6.684944203616258,14.599289021492005
13,6.448607570780618,14.88890605688095
14,6.456507275568559,14.739836683273316
15,5.95275374151475,14.766350693702698
16,7.1164288988562445,14.676557359695435
17,6.119735976772993,14.571067929267883
18,7.28300233441978,14.691336469650269
19,6.296201411731063,14.46265319108963
0,19.354336646089585,25.837012147903444
1,12.965567957246957,23.664132356643677
2,12.233736629958626,22.19020425796509
3,10.890669044554569,21.374493284225466
4,10.369099362336058,20.892380480766295
5,11.11778387857845,20.48633257865906
6,11.045260773198542,20.2031751537323
7,8.314394113598318,19.974188871383667
8,11.679300128077177,19.798701395988463
9,8.19353066099451,19.587917814254762
10,9.500630970898294,19.40227738380432
11,11.480246086024383,19.28805293560028
12,8.317741121183184,19.180887184143067
13,8.733414515251535,19.06301118850708
0,13.34181176338877,18.695573654174805
1,9.237907411271681,16.79480216026306
2,7.223558918741725,15.902616438865662
3,8.322789587873094,15.319342164993285
4,7.277247004503621,14.958784890174865
5,6.267789332959905,14.680322780609131
6,6.581075188833908,14.438983974456788
7,6.533871131283896,14.172400569915771
8,5.7371167072800775,14.034098753929138
9,6.939822132204786,13.835773992538453
10,5.020954849206813,13.72590594291687
0,6.163826859770738,13.595738861560822
1,5.180539805747309,13.537371654510498
2,5.884891614817933,13.512258720397949
3,6.151724769930134,13.43399258852005
4,5.168422229629842,13.423064370155334
5,5.051345445699073,13.402802906036378
6,5.661096379895916,13.381182723045349
7,5.2253314797314925,13.321678419113159
8,5.695432372599341,13.33289546251297
9,5.67829107435464,13.297965590953828
10,6.697454669307354,13.311737041473389
11,4.404094348696018,13.277409977912903
12,6.801091985756091,13.271298332214355
13,5.327547897089709,13.277475674152374
14,4.9656497249432014,13.238748207092286
15,5.310427231057093,13.246192321777343
16,5.579655648883344,13.238697414398194
17,6.109087864291214,13.227061011791228
18,5.2017465182789815,13.220113937854768
19,6.103965100418827,13.21448079586029
0,9.434063613414764,15.490567493438721
1,6.340662778959029,14.889802570343017
2,6.813076735611988,13.946389594078063
3,6.168831499239032,13.749957656860351
4,6.080529433194832,13.470849907398224
5,5.361533183173834,13.429010128974914
6,5.309503968859306,13.404780950546265
7,6.124273152463766,13.363499550819396
8,4.936413286780028,13.35339427471161
9,6.206766800811016,13.29833041191101
10,5.049785170015803,13.407089939117432
11,5.507846555859687,13.235408806800843
12,5.686477999938162,13.264738342761994
13,5.319802126451943,13.258825283050538
14,5.6599091403687485,13.400190045833588
15,5.427638621239486,13.268277893066406
